SYMBOL,NAME OF COMPANY,ISIN NUMBER
RELIANCE,Reliance Industries Limited,INE002A01018
TCS,Tata Consultancy Services Limited,INE467B01029
HDFCBANK,HDFC Bank Limited,INE040A01034
INFY,Infosys Limited,INE009A01021
ICICIBANK,ICICI Bank Limited,INE090A01021
HINDUNILVR,Hindustan Unilever Limited,INE030A01027
SBIN,State Bank of India,INE062A01020
BHARTIARTL,Bharti Airtel Limited,INE397D01024
ITC,ITC Limited,INE154A01025
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01028
LT,Larsen & Toubro Limited,INE018A01030
AXISBANK,Axis Bank Limited,INE238A01034
BAJFINANCE,Bajaj Finance Limited,INE296A01024
ASIANPAINT,Asian Paints Limited,INE021A01026
MARUTI,Maruti Suzuki India Limited,INE585B01010
TITAN,Titan Company Limited,INE280A01028
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A01036
WIPRO,Wipro Limited,INE075A01022
ULTRACEMCO,UltraTech Cement Limited,INE481G01011
HCLTECH,HCL Technologies Limited,INE860A01027
NTPC,NTPC Limited,INE733E01010
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029
TATAMOTORS,Tata Motors Limited,INE155A01022
POWERGRID,Power Grid Corporation of India Limited,INE752E01010
M&M,Mahindra & Mahindra Limited,INE101A01026
ADANIENT,Adani Enterprises Limited,INE423A01024
TATASTEEL,Tata Steel Limited,INE081A01020
BAJAJFINSV,Bajaj Finserv Limited,INE918I01018
COALINDIA,Coal India Limited,INE522F01014
BPCL,Bharat Petroleum Corporation Limited,INE029A01011
JSWSTEEL,JSW Steel Limited,INE019A01038
TECHM,Tech Mahindra Limited,INE669C01036
INDUSINDBK,IndusInd Bank Limited,INE095A01012
HINDALCO,Hindalco Industries Limited,INE038A01020
GRASIM,Grasim Industries Limited,INE047A01021
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01023
CIPLA,Cipla Limited,INE059A01026
DIVISLAB,Divi's Laboratories Limited,INE361B01024
EICHERMOT,Eicher Motors Limited,INE066A01021
BRITANNIA,Britannia Industries Limited,INE216A01030
NESTLEIND,Nestle India Limited,INE239A01016
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024
TATACONSUM,Tata Consumer Products Limited,INE192A01025
SBILIFE,SBI Life Insurance Company Limited,INE123W01016
HDFCLIFE,HDFC Life Insurance Company Limited,INE795G01014
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010
VEDL,Vedanta Limited,INE205A01025
ZOMATO,Zomato Limited,INE758T01015
PAYTM,One 97 Communications Limited,INE982J01020
IRCTC,Indian Railway Catering & Tourism Corp Ltd,INE335Y01020
SUZLON,Suzlon Energy Limited,INE040H01021
NHPC,NHPC Limited,INE848E01016
RVNL,Rail Vikas Nigam Limited,INE415G01027
IRFC,Indian Railway Finance Corporation Limited,INE053F01010
SAIL,Steel Authority of India Limited,INE114A01011
BHEL,Bharat Heavy Electricals Limited,INE257A01026
IOC,Indian Oil Corporation Limited,INE242A01010
GAIL,GAIL (India) Limited,INE129A01019
PNB,Punjab National Bank,INE160A01022
BANKBARODA,Bank of Baroda,INE028A01039
CANBK,Canara Bank,INE476A01022
IDEA,Vodafone Idea Limited,INE669E01016
YESBANK,Yes Bank Limited,INE528G01035
TATACHEM,Tata Chemicals Limited,INE092A01019
TATAPOWER,Tata Power Company Limited,INE245A01021
ADANIPOWER,Adani Power Limited,INE814H01011
ADANIGREEN,Adani Green Energy Limited,INE364U01010
PIDILITIND,Pidilite Industries Limited,INE318A01026
HAVELLS,Havells India Limited,INE176B01034
VOLTAS,Voltas Limited,INE226A01021
SIEMENS,Siemens Limited,INE003A01024
ABB,ABB India Limited,INE117A01022
DABUR,Dabur India Limited,INE016A01026
GODREJCP,Godrej Consumer Products Limited,INE102D01028
MARICO,Marico Limited,INE196A01026
COLPAL,Colgate Palmolive (India) Limited,INE259A01022
BERGEPAINT,Berger Paints India Limited,INE463A01038
JUBLFOOD,Jubilant FoodWorks Limited,INE797F01020
PAGEIND,Page Industries Limited,INE761H01022
TRENT,Trent Limited,INE849A01020
DMART,Avenue Supermarts Limited,INE192R01011
MUTHOOTFIN,Muthoot Finance Limited,INE414G01012
CHOLAFIN,Cholamandalam Investment & Finance Co Ltd,INE121A01024
SBICARD,SBI Cards and Payment Services Limited,INE018E01016
POLYCAB,Polycab India Limited,INE455K01017
PERSISTENT,Persistent Systems Limited,INE262H01013
COFORGE,Coforge Limited,INE703G01027
LICI,Life Insurance Corporation of India,INE0J1Y01017
JSWENERGY,JSW Energy Limited,INE121E01018
HAL,Hindustan Aeronautics Limited,INE066F01020
BEL,Bharat Electronics Limited,INE263A01024
RECLTD,REC Limited,INE020B01018
PFC,Power Finance Corporation Limited,INE134E01011
JIOFIN,Jio Financial Services Limited,INE758E01017
MANKIND,Mankind Pharma Limited,INE634S01028
